amount,bin,status,fraud,BankFrequency,AmountCategory,AmountMark
amount below 2000,491283,paid,0,183,4.0,1750.0
amount below 500,455255,paid,0,194,1.0,250.0
amount below 1500,407458,paid,0,6,3.0,1250.0
amount below 500,455511,paid,0,64,1.0,250.0
amount below 1000,370782,paid,0,10,2.0,750.0
amount below 2500,491283,paid,0,183,5.0,2250.0
amount below 1000,548234,paid,0,227,2.0,750.0
amount below 500,415231,refunded,1,1060,1.0,250.0
amount below 500,421316,paid,0,212,1.0,250.0
amount below 500,477291,refunded,1,531,1.0,250.0
amount below 500,477291,refunded,1,531,1.0,250.0
amount below 1500,413406,paid,0,45,3.0,1250.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 1000,416916,refunded,1,73,2.0,750.0
amount below 1000,416916,refunded,1,73,2.0,750.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 1000,514759,paid,0,1,2.0,750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,421316,paid,0,212,1.0,250.0
amount below 500,455255,paid,0,194,1.0,250.0
amount below 1000,454057,paid,0,54,2.0,750.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1500,529001,antifraud_declined,1,42,3.0,1250.0
amount below 1000,455513,paid,0,63,2.0,750.0
amount below 1500,473701,antifraud_declined,1,68,3.0,1250.0
amount below 1000,405306,paid,0,57,2.0,750.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 1500,415231,paid,0,1060,3.0,1250.0
amount below 1000,410181,paid,0,72,2.0,750.0
amount below 500,522130,paid,0,17,1.0,250.0
amount below 1500,493172,paid,0,135,3.0,1250.0
amount below 500,537830,paid,0,27,1.0,250.0
amount below 3500,548234,paid,0,227,7.0,3250.0
amount below 6000,554629,paid,0,76,12.0,5750.0
amount below 500,491871,paid,0,12,1.0,250.0
amount below 2000,549949,paid,0,91,4.0,1750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 2000,415231,paid,0,1060,4.0,1750.0
amount below 1000,493161,antifraud_declined,1,203,2.0,750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 2000,413406,paid,0,45,4.0,1750.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 1500,493172,antifraud_declined,1,135,3.0,1250.0
amount below 1000,548234,paid,0,227,2.0,750.0
amount below 1500,379911,charged_back,1,10,3.0,1250.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 1000,477213,paid,0,370,2.0,750.0
amount below 500,557907,paid,0,269,1.0,250.0
amount below 1500,437863,paid,0,1,3.0,1250.0
amount below 500,376718,paid,0,5,1.0,250.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 1000,426807,paid,0,86,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,493161,paid,0,203,1.0,250.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 500,455514,paid,0,34,1.0,250.0
amount below 500,376667,paid,0,8,1.0,250.0
amount below 500,528851,paid,0,92,1.0,250.0
amount below 2000,455511,paid,0,64,4.0,1750.0
amount below 500,529091,paid,0,63,1.0,250.0
amount below 500,477291,paid,0,531,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,372760,paid,0,1,2.0,750.0
amount below 500,426807,paid,0,86,1.0,250.0
amount below 1000,528851,paid,0,92,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,477213,paid,0,370,1.0,250.0
amount below 500,405930,paid,0,51,1.0,250.0
amount below 500,421316,paid,0,212,1.0,250.0
amount below 1000,548234,paid,0,227,2.0,750.0
amount below 4000,410180,paid,0,26,8.0,3750.0
amount below 500,491282,paid,0,37,1.0,250.0
amount below 1000,535875,antifraud_declined,1,46,2.0,750.0
amount below 500,455255,paid,0,194,1.0,250.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 1000,518004,paid,0,22,2.0,750.0
amount below 1000,528843,paid,0,282,2.0,750.0
amount below 1500,450949,paid,0,1,3.0,1250.0
amount below 500,554629,paid,0,76,1.0,250.0
amount below 1500,477291,paid,0,531,3.0,1250.0
amount below 1500,410180,paid,0,26,3.0,1250.0
amount below 500,402766,paid,0,41,1.0,250.0
amount below 1000,549138,paid,0,399,2.0,750.0
amount below 500,454057,paid,0,54,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,455504,paid,0,8,2.0,750.0
amount below 1000,455504,paid,0,8,2.0,750.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 1000,557910,paid,0,418,2.0,750.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1500,421316,charged_back,1,212,3.0,1250.0
amount below 1500,421316,charged_back,1,212,3.0,1250.0
amount below 2000,544204,refunded,1,63,4.0,1750.0
amount below 1000,491282,paid,0,37,2.0,750.0
amount below 1000,376661,paid,0,10,2.0,750.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 1500,493158,antifraud_declined,1,54,3.0,1250.0
amount below 1500,547046,paid,0,207,3.0,1250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
amount below 1000,455255,paid,0,194,2.0,750.0
amount below 500,517712,paid,0,99,1.0,250.0
amount below 500,520416,paid,0,461,1.0,250.0
amount below 1500,491284,paid,0,156,3.0,1250.0
amount below 500,554629,paid,0,76,1.0,250.0
amount below 500,455545,paid,0,45,1.0,250.0
amount below 1500,549631,paid,0,10,3.0,1250.0
amount below 500,491089,paid,0,197,1.0,250.0
amount below 500,528804,paid,0,5,1.0,250.0
amount below 500,426807,paid,0,86,1.0,250.0
amount below 1000,477291,paid,0,531,2.0,750.0
amount below 500,557910,paid,0,418,1.0,250.0
amount below 500,491375,paid,0,42,1.0,250.0
amount below 1000,415231,paid,0,1060,2.0,750.0
amount below 1500,549138,refunded,1,399,3.0,1250.0
amount below 1000,432466,paid,0,6,2.0,750.0
amount below 500,557909,paid,0,139,1.0,250.0
amount below 1000,477213,antifraud_declined,1,370,2.0,750.0
amount below 500,477291,refunded,1,531,1.0,250.0
amount below 500,477291,refunded,1,531,1.0,250.0
amount below 500,493161,paid,0,203,1.0,250.0
amount below 1000,520416,paid,0,461,2.0,750.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 2000,493172,antifraud_declined,1,135,4.0,1750.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 1000,420713,antifraud_declined,1,5,2.0,750.0
amount below 500,541286,paid,0,8,1.0,250.0
amount below 1500,528843,paid,0,282,3.0,1250.0
amount below 500,493173,paid,0,163,1.0,250.0
amount below 500,415231,paid,0,1060,1.0,250.0
